authorName,hIndex
Michael Stonebraker,37
Philip A. Bernstein,34
Richard T. Snodgrass,25
David J. DeWitt,22
Nathan Goodman,22
Catriel Beeri,20
Michael J. Carey 0001,19
Yehoshua Sagiv,19
Jack Minker,17
Ronald Fagin,17
David Maier 0001,16
Gultekin Özsoyoglu,16
Jim Gray 0001,16
Richard Hull 0001,15
Stavros Christodoulakis,15
Bruce G. Lindsay 0001,14
S. Bing Yao,14
Alberto O. Mendelzon,14
Christos H. Papadimitriou,14
Per-Åke Larson,14
Won Kim 0001,14
Christian S. Jensen,13
Henry F. Korth,12
Patrick Valduriez,12
Leo Mark,12
Leslie Lamport,12
Alfred V. Aho,12
Alfonso F. Cardenas,12
Shamkant B. Navathe,12
Rakesh Agrawal 0001,11
Goetz Graefe,11
Mario Schkolnick,11
Don S. Batory,11
Tomasz Imielinski,11
Witold Litwin,11
Peter J. Denning,11
Amit P. Sheth,11
Raymond A. Lorie,11
Theo Härder,10
M. Tamer Özsu,10
Eugene Wong 0001,10
Malcolm P. Atkinson,10
Dennis McLeod,10
E. F. Codd,10
Morton M. Astrahan,10
Donald D. Chamberlin,10
Carlo Zaniolo,9
C. Mohan 0001,9
Peter Buneman,9
Miron Livny,9
Dorothy E. Denning,9
David B. Lomet,9
David Scott Warren,9
Jon Louis Bentley,9
Anthony C. Klug,9
Dennis G. Severance,9
Hans-Jörg Schek,8
Ronald Morrison,8
Richard J. Lipton,8
Z. Meral Özsoyoglu,8
Irving L. Traiger,8
Kenneth C. Sevcik,8
Rudolf Bayer,8
Daniel Barbará,8
Andreas Reuter 0001,7
Amihai Motro,7
Luca Cardelli,7
Krithi Ramamritham,7
Nancy A. Lynch,7
Matthias Jarke,7
Ronald L. Rivest,7
Michael E. Senko,7
Nikos A. Lorentzos,7
Marek Rusinkiewicz,7
David K. Hsiao,7
William Kent,7
Roger King,7
Umeshwar Dayal,7
Mike W. Blasgen,7
Lawrence J. Henschen,7
Allen Van Gelder,7
Ronald J. Brachman,7
John Grant,7
Robert A. Kowalski,7
Betty Salzberg,6
Eric N. Hanson,6
Gunter Saake,6
Guy M. Lohman,6
Dimitrios Georgakopoulos,6
Piero Fraternali,6
Stefano Paraboschi,6
Laura M. Haas,6
Margaret H. Eich,6
Ryszard S. Michalski,6
Michael V. Mannino,6
Shahram Ghandeharizadeh,6
Raymond Reiter,6
Thomas G. Price,6
Witold Lipski Jr.,6
Joachim Biskup,6
Edward Omiecinski,6
Hamid Pirahesh,6
James A. Larson,6
Alexander Borgida,6
Kenneth A. Ross,6
Kyu-Young Whang,6
Ramez Elmasri,6
Yuri Breitbart,6
Bradford W. Wade,6
Letizia Tanca,6
Kenneth Salem,6
William E. Weihl,6
Frank Manola,5
Shashi K. Gadia,5
Robert A. Yost,5
P. Bruce Berra,5
Carlo Batini,5
Tiko Kameda,5
Anita K. Jones,5
Erol Gelenbe,5
Maurizio Lenzerini,5
Li-Yan Yuan,5
Patrick C. Fischer,5
Kapali P. Eswaran,5
John Mylopoulos,5
Toby J. Teorey,5
Wei Sun 0002,5
Ravi Krishnamurthy,5
James W. Mehl,5
W. Frank King III,5
Ashok K. Chandra,5
Francis Y. L. Chin,5
